package	test_name	file	line
ledger/simulation	TestAppAccounts	ledger/simulation/resources_test.go	32
ledger/simulation	TestGlobalVsLocalResources	ledger/simulation/resources_test.go	83
ledger/simulation	TestPayTxn	ledger/simulation/simulation_eval_test.go	206
ledger/simulation	TestIllFormedStackRequest	ledger/simulation/simulation_eval_test.go	363
ledger/simulation	TestWrongAuthorizerTxn	ledger/simulation/simulation_eval_test.go	417
ledger/simulation	TestRekey	ledger/simulation/simulation_eval_test.go	466
ledger/simulation	TestStateProofTxn	ledger/simulation/simulation_eval_test.go	516
ledger/simulation	TestSimpleGroupTxn	ledger/simulation/simulation_eval_test.go	535
ledger/simulation	TestLogicSig	ledger/simulation/simulation_eval_test.go	613
ledger/simulation	TestSimpleAppCall	ledger/simulation/simulation_eval_test.go	735
ledger/simulation	TestRejectAppCall	ledger/simulation/simulation_eval_test.go	821
ledger/simulation	TestErrorAppCall	ledger/simulation/simulation_eval_test.go	879
ledger/simulation	TestClearStateRejection	ledger/simulation/simulation_eval_test.go	961
ledger/simulation	TestClearStateError	ledger/simulation/simulation_eval_test.go	1039
ledger/simulation	TestErrorAfterClearStateError	ledger/simulation/simulation_eval_test.go	1117
ledger/simulation	TestAppCallOverBudget	ledger/simulation/simulation_eval_test.go	1197
ledger/simulation	TestAppCallWithExtraBudget	ledger/simulation/simulation_eval_test.go	1276
ledger/simulation	TestAppCallWithExtraBudgetReturningPC	ledger/simulation/simulation_eval_test.go	1351
ledger/simulation	TestAppCallWithExtraBudgetOverBudget	ledger/simulation/simulation_eval_test.go	1460
ledger/simulation	TestAppCallWithExtraBudgetExceedsInternalLimit	ledger/simulation/simulation_eval_test.go	1538
ledger/simulation	TestLogicSigOverBudget	ledger/simulation/simulation_eval_test.go	1589
ledger/simulation	TestAppAtBudget	ledger/simulation/simulation_eval_test.go	1669
ledger/simulation	TestStartRound	ledger/simulation/simulation_eval_test.go	1758
ledger/simulation	TestDefaultSignatureCheck	ledger/simulation/simulation_eval_test.go	1819
ledger/simulation	TestInvalidTxGroup	ledger/simulation/simulation_eval_test.go	1862
ledger/simulation	TestLogLimitLiftingInSimulation	ledger/simulation/simulation_eval_test.go	1899
ledger/simulation	TestLogSizeExceedWithLiftInSimulation	ledger/simulation/simulation_eval_test.go	1997
ledger/simulation	TestMaxDepthAppWithPCTrace	ledger/simulation/simulation_eval_test.go	2214
ledger/simulation	TestLogicSigPCandStackExposure	ledger/simulation/simulation_eval_test.go	2628
ledger/simulation	TestInvalidLogicSigPCandStack	ledger/simulation/simulation_eval_test.go	2776
ledger/simulation	TestInvalidApp	ledger/simulation/simulation_eval_test.go	2902
ledger/simulation	TestFrameBuryDigStackTrace	ledger/simulation/simulation_eval_test.go	3055
ledger/simulation	TestBoxChangeExecTrace	ledger/simulation/simulation_eval_test.go	3404
ledger/simulation	TestAppLocalGlobalStateChange	ledger/simulation/simulation_eval_test.go	3805
ledger/simulation	TestAppLocalGlobalStateChangeClearStateRollback	ledger/simulation/simulation_eval_test.go	4392
ledger/simulation	TestGlobalStateTypeChangeErr	ledger/simulation/simulation_eval_test.go	4606
ledger/simulation	TestAppInitialBoxStates	ledger/simulation/simulation_eval_test.go	5058
ledger/simulation	TestAppInitialBoxStatesAboutBoxPut	ledger/simulation/simulation_eval_test.go	5408
ledger/simulation	TestForeignAppBoxStateChangeTrace	ledger/simulation/simulation_eval_test.go	5455
ledger/simulation	TestAppInitialGlobalStates	ledger/simulation/simulation_eval_test.go	5801
ledger/simulation	TestLocalInitialStates	ledger/simulation/simulation_eval_test.go	6176
ledger/simulation	TestInitialStatesGetEx	ledger/simulation/simulation_eval_test.go	6233
ledger/simulation	TestBalanceChangesWithApp	ledger/simulation/simulation_eval_test.go	6502
ledger/simulation	TestOptionalSignatures	ledger/simulation/simulation_eval_test.go	6609
ledger/simulation	TestPlaceholderPQSignatures	ledger/simulation/simulation_eval_test.go	6734
ledger/simulation	TestOptionalSignaturesIncorrect	ledger/simulation/simulation_eval_test.go	7148
ledger/simulation	TestOptionalSignaturesProgramlessLogicSigContent	ledger/simulation/simulation_eval_test.go	7171
ledger/simulation	TestPartialMissingSignatures	ledger/simulation/simulation_eval_test.go	7199
ledger/simulation	TestPooledFeesAcrossSignedAndUnsigned	ledger/simulation/simulation_eval_test.go	7279
ledger/simulation	TestAppCallInnerTxnApplyDataOnErr	ledger/simulation/simulation_eval_test.go	7380
ledger/simulation	TestNonAppCallInnerTxnApplyDataOnErr	ledger/simulation/simulation_eval_test.go	7497
ledger/simulation	TestInnerTxnNonAppCallErr	ledger/simulation/simulation_eval_test.go	7600
ledger/simulation	TestMockTracerScenarios	ledger/simulation/simulation_eval_test.go	7682
ledger/simulation	TestUnnamedResources	ledger/simulation/simulation_eval_test.go	7778
ledger/simulation	TestUnnamedResourcesAccountLocalWrite	ledger/simulation/simulation_eval_test.go	8041
ledger/simulation	TestUnnamedResourcesCreatedAppsAndAssets	ledger/simulation/simulation_eval_test.go	8194
ledger/simulation	TestUnnamedResourcesBoxIOBudget	ledger/simulation/simulation_eval_test.go	8604
ledger/simulation	TestUnnamedResourcesBigProgramReadBudget	ledger/simulation/simulation_eval_test.go	9003
ledger/simulation	TestUnnamedResourcesLargeUnnamedAppReadBudget	ledger/simulation/simulation_eval_test.go	9077
ledger/simulation	TestUnnamedResourcesLargeProgramCreateWriteBudget	ledger/simulation/simulation_eval_test.go	9170
ledger/simulation	TestUnnamedResourcesLimits	ledger/simulation/simulation_eval_test.go	9739
ledger/simulation	TestUnnamedResourcesCrossProductLimits	ledger/simulation/simulation_eval_test.go	9910
ledger/simulation	TestFixSigners	ledger/simulation/simulation_eval_test.go	10057
ledger/simulation	TestTxnNeedsSyntheticSignatureLogicSigContent	ledger/simulation/simulator_test.go	41
ledger/simulation	TestNonOverridenDataLedgerMethodsUseRoundParameter	ledger/simulation/simulator_test.go	59
ledger/simulation	TestSimulateWithTrace	ledger/simulation/simulator_test.go	114
ledger/simulation	TestCursorEvalTracer	ledger/simulation/tracer_test.go	30
ledger/simulation	TestPopulateFeeUsageIncludesBigLogicSigProgram	ledger/simulation/trace_test.go	31
